2025-03-15 23:49:15,148 - | Round:   1 | train_loss: 1.09879 | test_loss: 1.09689 | train_acc: 0.33000 | test_acc: 0.31400 |
2025-03-15 23:49:17,951 - | Round:   2 | train_loss: 1.10540 | test_loss: 1.10559 | train_acc: 0.32175 | test_acc: 0.31600 |
2025-03-15 23:49:20,779 - | Round:   3 | train_loss: 1.10159 | test_loss: 1.10343 | train_acc: 0.32675 | test_acc: 0.31200 |
2025-03-15 23:49:23,376 - | Round:   4 | train_loss: 1.10210 | test_loss: 1.10360 | train_acc: 0.33250 | test_acc: 0.31900 |
2025-03-15 23:49:25,907 - | Round:   5 | train_loss: 1.10149 | test_loss: 1.10274 | train_acc: 0.34850 | test_acc: 0.33700 |
2025-03-15 23:49:28,423 - | Round:   6 | train_loss: 1.08782 | test_loss: 1.08804 | train_acc: 0.36975 | test_acc: 0.37400 |
2025-03-15 23:49:30,947 - | Round:   7 | train_loss: 1.09342 | test_loss: 1.09353 | train_acc: 0.35250 | test_acc: 0.35900 |
2025-03-15 23:49:33,617 - | Round:   8 | train_loss: 1.09487 | test_loss: 1.09465 | train_acc: 0.34275 | test_acc: 0.35800 |
2025-03-15 23:49:36,409 - | Round:   9 | train_loss: 1.09269 | test_loss: 1.09113 | train_acc: 0.35300 | test_acc: 0.36600 |
2025-03-15 23:49:39,210 - | Round:  10 | train_loss: 1.08720 | test_loss: 1.08670 | train_acc: 0.36575 | test_acc: 0.37900 |
2025-03-15 23:49:42,012 - | Round:  11 | train_loss: 1.07737 | test_loss: 1.07729 | train_acc: 0.41775 | test_acc: 0.42100 |
2025-03-15 23:49:44,884 - | Round:  12 | train_loss: 1.07657 | test_loss: 1.07613 | train_acc: 0.42175 | test_acc: 0.42200 |
2025-03-15 23:49:47,696 - | Round:  13 | train_loss: 1.07458 | test_loss: 1.07422 | train_acc: 0.42525 | test_acc: 0.41900 |
2025-03-15 23:49:50,518 - | Round:  14 | train_loss: 1.07382 | test_loss: 1.07363 | train_acc: 0.42500 | test_acc: 0.42200 |
2025-03-15 23:49:53,330 - | Round:  15 | train_loss: 1.07986 | test_loss: 1.07900 | train_acc: 0.40350 | test_acc: 0.42100 |
2025-03-15 23:49:56,147 - | Round:  16 | train_loss: 1.07807 | test_loss: 1.07759 | train_acc: 0.40950 | test_acc: 0.42000 |
2025-03-15 23:49:58,953 - | Round:  17 | train_loss: 1.07651 | test_loss: 1.07659 | train_acc: 0.41750 | test_acc: 0.41900 |
2025-03-15 23:50:01,775 - | Round:  18 | train_loss: 1.06921 | test_loss: 1.06846 | train_acc: 0.43525 | test_acc: 0.43800 |
